Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,MovingAverageSimple,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
21,CAD=X,21,2007-08-20 23:59:59.999989,1.06,1.06,1.05,1.06,0.0,0.0,1.0554,TestStrategy,21,732908.9999999999,MovingAverageSimple,21,1.0593333333333335,Broker,21,989.3,999.9,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,CAD=X,22,2007-08-21 23:59:59.999989,1.06,1.06,1.06,1.06,0.0,0.0,1.0642,TestStrategy,22,732909.9999999999,MovingAverageSimple,22,1.0586666666666666,Broker,22,989.3,999.9,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,CAD=X,23,2007-08-22 23:59:59.999989,1.06,1.07,1.06,1.06,0.0,0.0,1.0607,TestStrategy,23,732910.9999999999,MovingAverageSimple,23,1.0586666666666666,Broker,23,989.3,999.9,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,CAD=X,24,2007-08-23 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.0546,TestStrategy,24,732911.9999999999,MovingAverageSimple,24,1.0586666666666666,Broker,24,989.3,999.8,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,CAD=X,25,2007-08-24 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0521,TestStrategy,25,732912.9999999999,MovingAverageSimple,25,1.0586666666666666,Broker,25,999.8,999.8,BuySell,25,,1.0758999999999999,Trades - Net Profit/Loss,25,,-0.20000000000000018
26,CAD=X,26,2007-08-27 23:59:59.999989,1.05,1.05,1.05,1.05,0.0,0.0,1.0548,TestStrategy,26,732915.9999999999,MovingAverageSimple,26,1.0586666666666666,Broker,26,999.8,999.8,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,CAD=X,27,2007-08-28 23:59:59.999989,1.05,1.07,1.05,1.06,0.0,0.0,1.0647,TestStrategy,27,732916.9999999999,MovingAverageSimple,27,1.0586666666666666,Broker,27,999.8,999.8,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,CAD=X,28,2007-08-29 23:59:59.999989,1.06,1.07,1.06,1.06,0.0,0.0,1.0604,TestStrategy,28,732917.9999999999,MovingAverageSimple,28,1.0593333333333335,Broker,28,989.1999999999999,999.8,BuySell,28,1.0441,,Trades - Net Profit/Loss,28,,
29,CAD=X,29,2007-08-30 23:59:59.999989,1.06,1.07,1.05,1.06,0.0,0.0,1.0577,TestStrategy,29,732918.9999999999,MovingAverageSimple,29,1.0593333333333335,Broker,29,989.1999999999999,999.8,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,CAD=X,30,2007-08-31 23:59:59.999989,1.06,1.06,1.05,1.06,0.0,0.0,1.0561,TestStrategy,30,732919.9999999999,MovingAverageSimple,30,1.06,Broker,30,989.1999999999999,999.8,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,CAD=X,31,2007-09-03 23:59:59.999989,1.05,1.05,1.05,1.05,0.0,0.0,1.0527,TestStrategy,31,732922.9999999999,MovingAverageSimple,31,1.06,Broker,31,989.1999999999999,999.6999999999999,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,CAD=X,32,2007-09-04 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0489,TestStrategy,32,732923.9999999999,MovingAverageSimple,32,1.0586666666666666,Broker,32,999.6999999999999,999.6999999999999,BuySell,32,,1.0758999999999999,Trades - Net Profit/Loss,32,,-0.10000000000000009
33,CAD=X,33,2007-09-05 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0535,TestStrategy,33,732924.9999999999,MovingAverageSimple,33,1.0566666666666669,Broker,33,999.6999999999999,999.6999999999999,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,CAD=X,34,2007-09-06 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0515,TestStrategy,34,732925.9999999999,MovingAverageSimple,34,1.0553333333333332,Broker,34,999.6999999999999,999.6999999999999,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,CAD=X,35,2007-09-07 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0544,TestStrategy,35,732926.9999999999,MovingAverageSimple,35,1.0546666666666666,Broker,35,999.6999999999999,999.6999999999999,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,CAD=X,36,2007-09-11 23:59:59.999989,1.05,1.05,1.04,1.04,0.0,0.0,1.0424,TestStrategy,36,732930.9999999999,MovingAverageSimple,36,1.0533333333333335,Broker,36,999.6999999999999,999.6999999999999,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,CAD=X,37,2007-09-12 23:59:59.999989,1.04,1.04,1.04,1.04,0.0,0.0,1.0365,TestStrategy,37,732931.9999999999,MovingAverageSimple,37,1.052,Broker,37,999.6999999999999,999.6999999999999,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,CAD=X,38,2007-09-13 23:59:59.999989,1.04,1.04,1.03,1.03,0.0,0.0,1.035,TestStrategy,38,732932.9999999999,MovingAverageSimple,38,1.05,Broker,38,999.6999999999999,999.6999999999999,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,CAD=X,39,2007-09-14 23:59:59.999989,1.03,1.04,1.03,1.03,0.0,0.0,1.029,TestStrategy,39,732933.9999999999,MovingAverageSimple,39,1.0486666666666666,Broker,39,999.6999999999999,999.6999999999999,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,CAD=X,40,2007-09-17 23:59:59.999989,1.03,1.03,1.02,1.03,0.0,0.0,1.0278,TestStrategy,40,732936.9999999999,MovingAverageSimple,40,1.0473333333333334,Broker,40,999.6999999999999,999.6999999999999,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,CAD=X,41,2007-09-18 23:59:59.999989,1.03,1.03,1.01,1.01,0.0,0.0,1.014,TestStrategy,41,732937.9999999999,MovingAverageSimple,41,1.0446666666666666,Broker,41,999.6999999999999,999.6999999999999,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,CAD=X,42,2007-09-19 23:59:59.999989,1.01,1.02,1.01,1.01,0.0,0.0,1.01432,TestStrategy,42,732938.9999999999,MovingAverageSimple,42,1.0413333333333334,Broker,42,999.6999999999999,999.6999999999999,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,CAD=X,43,2007-09-20 23:59:59.999989,1.01,1.01,1.0,1.0,0.0,0.0,1.0008,TestStrategy,43,732939.9999999999,MovingAverageSimple,43,1.0373333333333334,Broker,43,999.6999999999999,999.6999999999999,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,CAD=X,44,2007-09-21 23:59:59.999989,1.0,1.0,0.99,1.0,0.0,0.0,1.0006,TestStrategy,44,732940.9999999999,MovingAverageSimple,44,1.0333333333333334,Broker,44,999.6999999999999,999.6999999999999,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,CAD=X,45,2007-09-24 23:59:59.999989,1.0,1.0,1.0,1.0,0.0,0.0,1.0025,TestStrategy,45,732943.9999999999,MovingAverageSimple,45,1.0293333333333334,Broker,45,999.6999999999999,999.6999999999999,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,CAD=X,46,2007-09-25 23:59:59.999989,1.0,1.01,1.0,1.0,0.0,0.0,1.0041,TestStrategy,46,732944.9999999999,MovingAverageSimple,46,1.026,Broker,46,999.6999999999999,999.6999999999999,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,CAD=X,47,2007-09-26 23:59:59.999989,1.0,1.01,1.0,1.0,0.0,0.0,1.0042,TestStrategy,47,732945.9999999999,MovingAverageSimple,47,1.0226666666666666,Broker,47,999.6999999999999,999.6999999999999,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,CAD=X,48,2007-09-27 23:59:59.999989,1.0,1.01,1.0,1.0,0.0,0.0,1.0018,TestStrategy,48,732946.9999999999,MovingAverageSimple,48,1.0193333333333334,Broker,48,999.6999999999999,999.6999999999999,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,CAD=X,49,2007-09-28 23:59:59.999989,1.0,1.0,0.99,1.0,0.0,0.0,0.9958,TestStrategy,49,732947.9999999999,MovingAverageSimple,49,1.016,Broker,49,999.6999999999999,999.6999999999999,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,CAD=X,50,2007-10-01 23:59:59.999989,0.99,1.0,0.99,0.99,0.0,0.0,0.9919,TestStrategy,50,732950.9999999999,MovingAverageSimple,50,1.012,Broker,50,999.6999999999999,999.6999999999999,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,CAD=X,51,2007-10-02 23:59:59.999989,0.99,1.0,0.99,1.0,0.0,0.0,0.9986,TestStrategy,51,732951.9999999999,MovingAverageSimple,51,1.0093333333333334,Broker,51,999.6999999999999,999.6999999999999,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,CAD=X,52,2007-10-03 23:59:59.999989,1.0,1.0,0.99,1.0,0.0,0.0,0.9986,TestStrategy,52,732952.9999999999,MovingAverageSimple,52,1.0066666666666666,Broker,52,999.6999999999999,999.6999999999999,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,CAD=X,53,2007-10-04 23:59:59.999989,1.0,1.0,1.0,1.0,0.0,0.0,0.9969,TestStrategy,53,732953.9999999999,MovingAverageSimple,53,1.0046666666666666,Broker,53,999.6999999999999,999.6999999999999,BuySell,53,,,Trades - Net Profit/Loss,53,,
